,tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,brand,tweet_clean,target
11,Find &amp; Start Impromptu Parties at #SXSW With @HurricaneParty http://bit.ly/gVLrIn I can't wait til the Android app comes out.,Android App,Positive emotion,Google,Find amp Start Impromptu Parties at SXSW With I can t wait til the Android app comes out,2.0
12,"Foursquare ups the game, just in time for #SXSW http://j.mp/grN7pK) - Still prefer @Gowalla by far, best looking Android app to date.",Android App,Positive emotion,Google,Foursquare ups the game just in time for SXSW Still prefer by far best looking Android app to date,2.0
13,Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @hamsandwich via @ischafer =&gt;http://bit.ly/aXZwxB,Other Google product or service,Positive emotion,Google,Gotta love this SXSW Google Calendar featuring top parties show cases to check out RT via gt,2.0
14,Great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,iPad or iPhone App,Positive emotion,Apple,Great sxsw ipad app from,2.0
15,"haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw",iPad or iPhone App,Positive emotion,Apple,haha awesomely rad iPad app by hollergram sxsw,2.0
16,Holler Gram for iPad on the iTunes App Store -  http://t.co/kfN3f5Q (via @marc_is_ken) #sxsw,,No emotion toward brand or product,,Holler Gram for iPad on the iTunes App Store via is ken sxsw,0.0
17,I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? #SXSW #iPhone,iPhone,Negative emotion,Apple,I just noticed DST is coming this weekend How many iPhone users will be an hour late at SXSW come Sunday morning SXSW iPhone,1.0
18,"Just added my #SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.",iPad or iPhone App,Positive emotion,Apple,Just added my SXSW flights to Matching people on planes airports Also downloaded the iPhone app nicely done,2.0
19,Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV,iPad or iPhone App,Positive emotion,Apple,Must have SXSW app RT Lovely review from Forbes for our SXSW iPad app Holler Gram,2.0
20,Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?,iPad,Positive emotion,Apple,Need to buy an iPad2 while I m in Austin at sxsw Not sure if I ll need to Q up at an Austin Apple store,2.0
21,"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",iPad or iPhone App,Positive emotion,Apple,Oh My God The SXSW app for iPad is pure unadulterated awesome It s easier to browse events on iPad than on the website,2.0
22,"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",Android App,Positive emotion,Google,Okay this is really it yay new for Android app 11 kthxbai sxsw,2.0
23,"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",iPad or iPhone App,Positive emotion,Apple,Photo Just installed the SXSW iPhone app which is really nice,2.0
24,Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,Android App,Positive emotion,Google,Really enjoying the changes in Gowalla 3 0 for Android Looking forward to seeing what else they amp Foursquare have up their sleeves at SXSW,2.0
25,"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",iPad,Positive emotion,Apple,RT I m looking forward to the SMCDallas pre SXSW party Wed and hoping I ll win an iPad resulting from my shameless promotion ChevySMC,2.0
26,"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",iPad or iPhone App,Positive emotion,Apple,RT haha awesomely rad iPad app by hollergram sxsw via,2.0
27,"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",Other Google product or service,Positive emotion,Google,someone started an austin group in google groups pre sxsw great idea,2.0
28,The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,iPad or iPhone App,Positive emotion,Apple,The new 4sq3 looks like it is going to rock Update for iPhone and Android should push tonight SXSW KeepAustinWeird,2.0
29,"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Android App,Positive emotion,Google,They were right the 3 app on android is sweeeeet Nice job by the team there sxsw,2.0
30,Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),iPad or iPhone App,Positive emotion,Apple,Very smart from hollergram iPad app for sxsw may leave my vuvuzela at home now,2.0
31,You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,iPad or iPhone App,Positive emotion,Apple,You must have this app for your iPad if you are going to SXSW hollergram,2.0
32,"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. {link}",,No emotion toward brand or product,,Attn All SXSW frineds Register for GDGTLive and see Cobra iRadar for Android link,0.0
33,Anyone at  #sxsw want to sell their old iPad?,,No emotion toward brand or product,,Anyone at sxsw want to sell their old iPad,0.0
34,Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,,No emotion toward brand or product,,Anyone at SXSW who bought the new iPad want to sell their older iPad to me,0.0
35,"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",,No emotion toward brand or product,,At sxsw Oooh RT Google to Launch Major New Social Network Called Circles Possibly Today link,0.0
36,The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,iPad,Positive emotion,Apple,The best RT Ha First in line for ipad2 at sxsw quot pop up quot Apple store was an event planner eventprofs pcma engage365,2.0
37,SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,,No emotion toward brand or product,,SPIN Play a new concept in music discovery for your iPad from amp spin com link iTunes sxsw,0.0
38,@mention  - False Alarm: Google Circles Not Coming Nowâ°ÃÃand Probably Not Ever? - {link} #Google #Circles #Social #SXSW,Google,Negative emotion,Google,False Alarm Google Circles Not Coming Now and Probably Not Ever link Google Circles Social SXSW,1.0
39,VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,,No emotion toward brand or product,,VatorNews Google And Apple Force Print Media to Evolve link sxsw,0.0
40,@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Apple,Positive emotion,Apple,Great weather to greet you for sxsw Still need a sweater at night Apple putting up quot flash store quot downtown to sell iPad2,2.0
41,"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether youâ°ÃÂªre getting friend... {link}",,No emotion toward brand or product,,HootSuite HootSuite Mobile for SXSW Updates for iPhone BlackBerry amp Android Whether you re getting friend link,0.0
42,Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and weâ°ÃÂªll make you one!,,No emotion toward brand or product,,Hey SXSW How long do you think it takes us to make an iPhone case answer using zazzlesxsw and we ll make you one,0.0
43,Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},,No emotion toward brand or product,,Mashable The iPad 2 Takes Over SXSW VIDEO ipad sxsw gadgets link,0.0
44,For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},,No emotion toward brand or product,,For I Pad RT New UberSocial for iPhone now in the App Store includes UberGuide to SXSW sponsored by link,0.0
45,#IPad2 's â°ÃÃ·#SmartCoverâ°ÃÂª Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW,iPad or iPhone App,Positive emotion,Apple,IPad2 s SmartCover Opens to Instant Access I should have waited to get one link apple SXSW,2.0
46,Hand-Held â°ÃÃ·Hoboâ°ÃÂª: Drafthouse launches â°ÃÃ·Hobo With a Shotgunâ°ÃÂª iPhone app #SXSW {link},,Positive emotion,,Hand Held Hobo Drafthouse launches Hobo With a Shotgun iPhone app SXSW link,2.0
47,HOORAY RT â°ÃÃ@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Apple,Positive emotion,Apple,HOORAY RT Apple Is Opening A Pop Up Store In Austin For SXSW link,2.0
48,Orly....? â°ÃÃ@mention Google set to launch new social network #Circles today at #sxswâ°ÃÂ,,No emotion toward brand or product,,Orly Google set to launch new social network Circles today at sxsw,0.0
49,wooooo!!! â°ÃÃ@mention Apple store downtown Austin open til Midnight. #sxswâ°ÃÂ,Apple,Positive emotion,Apple,wooooo Apple store downtown Austin open til Midnight sxsw,2.0
50,Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,,No emotion toward brand or product,,Khoi Vinh says Conde Nast s headlong rush into iPad publishing was a quot fundamental misunderstanding quot of the platform sxsw,0.0
51,"â°ÃÃ@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",,No emotion toward brand or product,,link lt HELP ME FORWARD THIS DOC to all Anonymous accounts techies amp ppl who can help us JAM libya SXSW,0.0
52,â°Ã·Â¼ WHAT? â°Ã·_ {link} â°Ã£_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,,No emotion toward brand or product,,WHAT link edchat musedchat sxsw sxswi classical newTwitter,0.0
53,".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",,No emotion toward brand or product,,on the location based fast fun and future link via sxsw,0.0
54,â°ÃÃ@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxswâ°ÃÂ @mention,,No emotion toward brand or product,,Google Will Connect the Digital amp Physical Worlds Through Mobile link sxsw,0.0
55,â°ÃÃ@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxswâ°ÃÂ,Google,Positive emotion,Google,talking about link Google s effort to allow users to have open systems bettercloud sxsw,2.0
56,"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",,No emotion toward brand or product,,link RT quot Google before you tweet quot is the new quot think before you speak quot Mark Belinsky 911tweets panel at SXSW,0.0
57,{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,iPad,Positive emotion,Apple,link RT 1st stop on the SXSW Chaos amp hunt Austin Java Get in the spy game 4 a chance 2 win an iPad,2.0
58,{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},,No emotion toward brand or product,,link RT Those at SXSW check out the Holler Gram ipad app from link,0.0
59,@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},,No emotion toward brand or product,,amp having fun at google pic SXSW link,0.0
60,&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,,No emotion toward brand or product,,quot via link Guy Kawasaki talks Enchanted at SXSW HE knows his stuff books internet Apple sxsw quot,0.0
61,"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",,No emotion toward brand or product,,futuremf link spec for recipes on the web now in google search link sxsw,0.0
62,#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,Apple,Positive emotion,Apple,OMFG RT Heard about Apple s pop up store in downtown Austin Pics are already on Gowalla link sxsw iPad2,2.0
63,"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",Apple,No emotion toward brand or product,Apple,Smile RT I think Apple s quot pop up store quot in Austin would be a lot more interesting if it actually you know popped up sxsw,0.0
64,Again? RT @mention Line at the Apple store is insane.. #sxsw,,Negative emotion,,Again RT Line at the Apple store is insane sxsw,1.0
65,Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,,No emotion toward brand or product,,Agree RT Wait FIONA APPLE is in town Somebody kidnap her and put her in a recording studio until she records a new album sxsw,0.0
66,At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,,No emotion toward brand or product,,At sxsw wanna buy you a drink 7pm at Fado on 4th link Join us,0.0
67,attending @mention iPad design headaches #sxsw {link},iPad,Negative emotion,Apple,attending iPad design headaches sxsw link,1.0
68,"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",,Negative emotion,,Boooo RT Flipboard is developing an iPhone version not Android says sxsw,1.0
69,Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},iPad,Positive emotion,Apple,Check out amp in line for their iPad 2 in Austin Power to them sxswi SXSW link,2.0
70,Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,,No emotion toward brand or product,,Check RT giving added value to location based services needs to battle check in fatigue google pnid sxsw,0.0
71,Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,,No emotion toward brand or product,,Chilcott SXSW stand talking with Blogger staff Too late to win competition for best tweet mentioning So no t shirt,0.0
72,"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,Positive emotion,Google,Do it RT Come party w Google tonight at sxsw link Bands food art ice cream nifty interactive maps,2.0
73,Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link},,No emotion toward brand or product,,Gowalla s promises to launch Foursquare check in Groupon rewards type service at SXSW Finger s crossed link,0.0
74,"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",,No emotion toward brand or product,,Ha ha RT SXSW News Yahoo com is loosing search traffic to new site Google com Doubt it will last tho w that weird name,0.0
75,Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Google,Positive emotion,Google,Holla RT At google party Best ever Get your butt over here sxsw,2.0
76,I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,iPhone,Positive emotion,Apple,I love my iPhone case from Sxsw but I can t get my phone out of it fail,2.0
77,I worship @mention {link} #SXSW,,No emotion toward brand or product,,I worship link SXSW,0.0
78,"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",,No emotion toward brand or product,,iPad2 RT Droid amp Mac here RT My agnerd confession using laptop iPad amp blackberry to follow SXSW,0.0
79,"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",,No emotion toward brand or product,,Launching SxSW RT Denies Social Network Called Circles Will Debut Today Despite Report link,0.0
80,New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,iPad or iPhone App,Positive emotion,Apple,New Post iPhone app makes it easy to connect on all social networks with people you meet link sxsw,2.0
81,Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,Positive emotion,Apple,Nice that iPhone app is behaving today Crashes yesterday were ridiculous sxsw,2.0
82,Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,,No emotion toward brand or product,,Nice RT Apple opening popup store for iPad launch in downtown Austin during SXSW link via,0.0
83,"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,Positive emotion,Apple,Nice RT Hey Apple fans Get a peek at the space that s slated to be a pop up SXSW Apple Store tomorrow link,2.0
84,"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Google,Positive emotion,Google,one thing is doing so great is get a great down to earth face to Google as a company You can only love her sxsw sxwsi,2.0
85,Stay tune @mention showcase #H4ckers {link} #SXSW,,No emotion toward brand or product,,Stay tune showcase H4ckers link SXSW,0.0
86,Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},,No emotion toward brand or product,,Thank you for the touchingstories preso SXSW Here s their deck link,0.0
87,Thank you @mention for an awesome #sxsw party! {link},,No emotion toward brand or product,,Thank you for an awesome sxsw party link,0.0
88,"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",,No emotion toward brand or product,,Thanks RT If you re trying to contact friends or family in Japan has created a person finder link SXSW,0.0
89,Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,iPad or iPhone App,Positive emotion,Apple,Thanks to for her mention of our new Speech iPad apps being showcased at the SXSW Conf link sxswh sxsh,2.0
91,Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,,No emotion toward brand or product,,Thanks to for publishing the news of our new medical Apps in the sxswi conf blog link sxsw sxswh mhealth,0.0
92,What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,iPhone,Negative emotion,Apple,What SXSW does not provide iPhone chargers I ve changed my mind about going next year,1.0
93,Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,,No emotion toward brand or product,,Wonder if amp will be in the apple flashmob tcrn ch fcs45j SXSW ipad2,0.0
94,Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,,No emotion toward brand or product,,Wonder if is putting tips from the API SxSW SUxSW,0.0
95,"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",iPad,Positive emotion,Apple,XMAS RT Shiny new apps a new book pop up iPad 2 stores SXSW is Christmas for nerds,2.0
96,Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},iPhone,Positive emotion,Apple,Yai RT New UberSocial for iPhone now in the App Store includes UberGuide to SXSW sponsored by cont link,2.0
97,"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW",,No emotion toward brand or product,,Yes RT hey i ve got another gem for you gt free sxsw link SXSW,0.0
98,"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Google,Positive emotion,Google,Fast Fun amp Future of Google presenting at sxsw on search local and mobile,2.0
99,GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,,No emotion toward brand or product,,GSD amp M amp Google s Industry Party Tonight See u there link SXSW Austin Welivehere GSDM,0.0
100,"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;",,No emotion toward brand or product,,New buzz quot Google to Launch Major New Social Network Called Circles Possibly Today link rt sxsw quot,0.0
101,Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,iPad,Positive emotion,Apple,Headline quot iPad 2 is the Must Have Gadget at SXSW quot Hmm I could have seen that one coming link gadget,2.0
103,Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,,Negative emotion,,Know that quot dataviz quot translates to quot satanic quot on an iPhone I m just sayin sxsw,1.0
104,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Google,Positive emotion,Google,quot Google launched checkins a month ago quot Check ins are ok but CHECK OUTS are the future sxsw Bizzy,2.0
105,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",,No emotion toward brand or product,,quot Google launched checkins a month ago quot Check ins are ok but CHECK OUTS are the future sxsw Bizzy via,0.0
106,"â°ÃÃ@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.â°ÃÂ",Google,Positive emotion,Google,quot Google before you tweet quot is the new quot think before you speak quot Mark Belinsky 911tweets panel at SXSW,2.0
107,"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw",,No emotion toward brand or product,,Attending quot left brain search Google Right brain search X quot Bettersearch talking about the future of search engines at sxsw,0.0
108,#HP opens &quot;Mobile Park&quot;  &amp; Content Incubator at #SXSW  {link}   #Apple  constructs  &quot;pop-up&quot; store  {link},,No emotion toward brand or product,,HP opens quot Mobile Park quot amp Content Incubator at SXSW link Apple constructs quot pop up quot store link,0.0
109,"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",Apple,Positive emotion,Apple,Kawasaki quot Not C S Lewis level reasoning but Apple s continued existence is evidence for the existence of God quot bawling sxsw,2.0
110,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment,,No emotion toward brand or product,,Kawasaki quot pagemaker saved Apple quot Oh those were the days sxsw jwtatl enchantment,0.0
111,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Apple,Positive emotion,Apple,Kawasaki quot pagemaker saved Apple quot Oh those were the days sxsw jwtatl enchantment via,2.0
112,Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},,Positive emotion,,Spark for android is up for a teamandroid award at SXSW read about it here link,2.0
113,"Unboxing. #Apple #sxsw  @mention Apple Store, SXSW {link}",,No emotion toward brand or product,,Unboxing Apple sxsw Apple Store SXSW link,0.0
114,"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",iPad,Positive emotion,Apple,SXSW and Apple iPad 2 s are great but thoughts are w Japan and APAC regions dealing w earthquake amp tsunami trauma sxswi,2.0
115,"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}",,No emotion toward brand or product,,At SXSW Apple schools the marketing experts SXSW CNET Blogs link,0.0
116,"At #SXSW, #Apple schools the marketing experts - {link}",Apple,Positive emotion,Apple,At SXSW Apple schools the marketing experts link,2.0
117,"At #SXSW, #Apple schools the marketing experts {link}",,No emotion toward brand or product,,At SXSW Apple schools the marketing experts link,0.0
118,"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",Apple,Positive emotion,Apple,Temporary apple store is def not a tent it s a powerhouse gym SXSW link,2.0
119,"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",Apple,Positive emotion,Apple,Temporary Apple store on 6th and Congress for sxsw along with 10 000 very happy hipsters,2.0
120,â°ÃÃ@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,Apple,Positive emotion,Apple,Apple wins SXSW link Opening a temporary store in downtown Austin to support iPad2 launch That is good,2.0
121,#iPad and #Austin are trending today. Have fun at #sxsw all you nerdy nerds!!!,iPad,Positive emotion,Apple,iPad and Austin are trending today Have fun at sxsw all you nerdy nerds,2.0
122,"Headed to #Austin for #SXSW? Check out my map for newbies {link} @mention @mention , @mention @mention Enjoy!",,No emotion toward brand or product,,Headed to Austin for SXSW Check out my map for newbies link Enjoy,0.0
123,Funny how #Austin is trending but not #SXSW. Only a matter of minutes at this point (at least according to Twitter for iPhone).,,No emotion toward brand or product,,Funny how Austin is trending but not SXSW Only a matter of minutes at this point at least according to Twitter for iPhone,0.0
124,Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,iPad or iPhone App,Positive emotion,Apple,Christian iPad iPhone devs I want to talk to u at sxsw or after maybe we can wk together on cool app me,2.0
125,#sxsw #ux #ipad #uxdes remember to ultimately be aware of the audience your app is targeted towards. An unexpected experience can be good.,,No emotion toward brand or product,,sxsw ux ipad uxdes remember to ultimately be aware of the audience your app is targeted towards An unexpected experience can be good,0.0
126,The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,iPad,Positive emotion,Apple,The Apple iPAD2 has taken SxSW and Austin by storm link excited to a be a part mobile,2.0
127,I can haz #iPad2 ifrom #SxSW Gr8 {link},iPad,Positive emotion,Apple,I can haz iPad2 ifrom SxSW Gr8 link,2.0
128,"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",iPad,Positive emotion,Apple,Stacks of ipad2 s waiting to be bought at sxsw I got mine no hassle at all Apple handled this perfectly link,2.0
129,"#Google's #Mobile Future, and the Elusive 'Power of Here' - {link} (via @mention #eurorscg #sxsw #sxswi",,No emotion toward brand or product,,Google s Mobile Future and the Elusive Power of Here link via eurorscg sxsw sxswi,0.0
130,"For those #notatSXSW (or at #SXSW), here's {link} Free to download and meet nearby peps",,No emotion toward brand or product,,For those notatSXSW or at SXSW here s link Free to download and meet nearby peps,0.0
131,Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,,Positive emotion,,Does your SmallBiz need reviews to play on Google Places We got an App for that link seo sxsw,2.0
132,Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link} #seo #sxsw,,No emotion toward brand or product,,Does your SmallBiz need reviews to play on Google Places We got an App for that link seo sxsw,0.0
133,"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW",,No emotion toward brand or product,,Samsung Sony follow Apple HP lead link Austin atx SXSW,0.0
