,tokens,imputed_brand_Apple,imputed_brand_Google,imputed_brand_Missing,target
69,check rt mention give add value location base service needs battle check fatigue google pnid sxsw,0.0,1.0,0.0,0.0
70,chilcott mention sxsw stand talk blogger staff late win competition best tweet mention mention shirt,0.0,0.0,1.0,0.0
71,rt mention come party w google tonight sxsw link band food art ice cream nifty interactive map,0.0,1.0,0.0,2.0
72,gowalla's mention promise launch foursquare check groupon reward type service sxsw finger's cross link,0.0,0.0,1.0,0.0
73,ha ha rt mention sxsw news yahoo com loose search traffic new site google com doubt last tho w weird name,0.0,1.0,0.0,0.0
74,holla rt mention google party best ever get butt sxsw,0.0,1.0,0.0,2.0
75,love mention iphone case sxsw can't get phone fail,1.0,0.0,0.0,2.0
76,worship mention link sxsw,0.0,0.0,1.0,0.0
77,ipad rt mention droid amp mac rt mention agnerd confession use laptop ipad amp blackberry follow sxsw,1.0,0.0,0.0,0.0
78,launch mention sxsw rt mention mention deny social network call circle debut today despite report link,0.0,0.0,1.0,0.0
79,new post mention iphone app make easy connect social network people meet link sxsw,1.0,0.0,0.0,2.0
80,nice mention iphone app behave today crash yesterday ridiculous sxsw,1.0,0.0,0.0,2.0
81,nice rt mention apple open popup store ipad launch downtown austin sxsw link via mention,1.0,0.0,0.0,0.0
82,nice rt mention hey apple fan get peek space that's slat pop sxsw apple store tomorrow link,1.0,0.0,0.0,2.0
83,one thing mention great get great earth face google company love sxsw sxwsi,0.0,1.0,0.0,2.0
84,stay tune mention showcase h ckers link sxsw,0.0,0.0,1.0,0.0
85,thank mention mention touchingstories preso sxsw here's deck link,0.0,0.0,1.0,0.0
86,thank mention awesome sxsw party link,0.0,0.0,1.0,0.0
87,thanks rt mention try contact friend family japan mention create person finder link sxsw,0.0,0.0,1.0,0.0
88,thanks mention mention new speech ipad apps showcased sxsw conf link sxswh sxsh,1.0,0.0,0.0,2.0
89,thanks mention publish news new medical apps sxswi conf blog link sxsw sxswh mhealth,0.0,0.0,1.0,0.0
90,mention sxsw provide iphone charger i've change mind go next year,1.0,0.0,0.0,1.0
91,wonder mention amp mention apple flashmob tcrn ch fcs j sxsw ipad,1.0,0.0,0.0,0.0
92,wonder mention put tip mention api sxsw suxsw,0.0,0.0,1.0,0.0
93,xmas rt mention shiny new mention mention mention apps new garyvee book pop ipad store sxsw christmas nerd,1.0,0.0,0.0,2.0
94,yai rt mention new ubersocial iphone app store include uberguide sxsw sponsor cont link,1.0,0.0,0.0,2.0
95,yes rt mention hey mention i've get another gem gt free mention sxsw link sxsw,0.0,0.0,1.0,0.0
96,fast fun amp future mention google present sxsw search local mobile,0.0,1.0,0.0,2.0
97,gsd amp amp google's industry party tonight mention see u link sxsw austin welivehere gsdm,0.0,1.0,0.0,0.0
98,new buzz quot mention google launch major new social network call circle possibly today link rt mention sxsw quot,0.0,1.0,0.0,0.0
99,headline quot ipad must gadget sxsw quot hmm could see one come link gadget,1.0,0.0,0.0,2.0
100,know quot dataviz quot translate quot satanic quot iphone i'm sayin sxsw,1.0,0.0,0.0,1.0
101,mention quot google launch checkins month ago quot check in ok check out future sxsw bizzy,0.0,1.0,0.0,2.0
102,mention quot google launch checkins month ago quot check in ok check out future sxsw bizzy via mention,0.0,1.0,0.0,0.0
103,mention quot google tweet quot new quot think speak quot mark belinsky tweet panel sxsw,0.0,1.0,0.0,2.0
104,attend quot leave brain search google right brain search x quot bettersearch talk future search engine sxsw,0.0,1.0,0.0,0.0
105,hp open quot mobile park quot amp content incubator sxsw link apple construct quot pop quot store link,1.0,0.0,0.0,0.0
106,kawasaki quot c lewis level reason apple's continue existence evidence existence god quot bawl sxsw,1.0,0.0,0.0,2.0
107,kawasaki quot pagemaker save apple quot oh day sxsw jwtatl enchantment,1.0,0.0,0.0,0.0
108,kawasaki quot pagemaker save apple quot oh day sxsw jwtatl enchantment via mention,1.0,0.0,0.0,2.0
109,spark android teamandroid award sxsw read link,0.0,1.0,0.0,2.0
110,unbox apple sxsw mention apple store sxsw link,1.0,0.0,0.0,0.0
111,sxsw apple ipad great thought w japan apac region deal w earthquake amp tsunami trauma sxswi,1.0,0.0,0.0,2.0
112,sxsw apple school marketing expert sxsw cnet blog link,1.0,0.0,0.0,0.0
113,sxsw apple school marketing expert link,1.0,0.0,0.0,2.0
114,sxsw apple school marketing expert link,1.0,0.0,0.0,0.0
115,temporary apple store def tent powerhouse gym sxsw link,1.0,0.0,0.0,2.0
116,temporary apple store th congress sxsw along happy hipster,1.0,0.0,0.0,2.0
117,mention apple win sxsw link open temporary store downtown austin support ipad launch good,1.0,0.0,0.0,2.0
118,ipad austin trend today fun sxsw nerdy nerd,1.0,0.0,0.0,2.0
119,head austin sxsw check map newbie link mention mention mention mention enjoy,0.0,0.0,1.0,0.0
120,funny austin trend sxsw matter minute point least accord twitter iphone,1.0,0.0,0.0,0.0
121,christian ipad iphone devs want talk u sxsw maybe wk together cool app mention,1.0,0.0,0.0,2.0
122,sxsw ux ipad uxdes remember ultimately aware audience app target towards unexpected experience good,0.0,0.0,1.0,0.0
123,apple ipad take sxsw austin storm link mention excite part mobile,1.0,0.0,0.0,2.0
124,haz ipad ifrom sxsw gr link,1.0,0.0,0.0,2.0
125,stack ipad wait buy sxsw get mine hassle apple handle perfectly link,1.0,0.0,0.0,2.0
126,google's mobile future elusive power link via mention eurorscg sxsw sxswi,0.0,1.0,0.0,0.0
127,notatsxsw sxsw here's link free download meet nearby pep,0.0,0.0,1.0,0.0
128,smallbiz need review play google place get app link seo sxsw,0.0,1.0,0.0,2.0
129,smallbiz need review play google place get app link seo sxsw,0.0,1.0,0.0,0.0
130,samsung sony follow apple hp lead mention link austin atx sxsw,1.0,0.0,0.0,0.0
131,samsung sony follow apple hp lead mention link austin atx sxsw via mention rg,1.0,0.0,0.0,0.0
132,take sxsw rt mention major south korean director get make movie entirely iphone link,1.0,0.0,0.0,2.0
133,beautiful sxsw mention apple store sxsw pic link,1.0,0.0,0.0,2.0
134,q sxsw sxswi prep amaze pre push locally focus location base google own region billboard pr chat,0.0,1.0,0.0,0.0
135,sxsw account need follow apps download iphone,1.0,0.0,0.0,0.0
136,head sxsw want share gather contact info link turn iphone business card broadcaster,0.0,0.0,1.0,0.0
137,head sxsw want share gather contact info link turn iphone link,0.0,0.0,1.0,0.0
138,btw sxsw apple store sell g model vzw amp amp,1.0,0.0,0.0,0.0
139,must sxsw app rt mention lovely review forbes sxsw ipad app holler gram link,1.0,0.0,0.0,2.0
140,temporary sxsw apple store apple sneaky usual link,1.0,0.0,0.0,2.0
141,anyone sxsw pop apple store austin that's gotta hop place today,1.0,0.0,0.0,0.0
142,mention sxsw beta test interactive book ipad app moonbot studio louisiana cool app,1.0,0.0,0.0,2.0
143,apple sxsw day one see ton ipad,1.0,0.0,0.0,2.0
144,fastball sxsw give away two new ipad wifi g black apple cover tweet mention fo info sxswi attsxsw tonight mention bo lt house,1.0,0.0,0.0,0.0
145,anyone sxsw chance check pop apple store wonder worth trek convention center,1.0,0.0,0.0,0.0
146,mention sxsw ipad store sell everything except gig wifi white mention manage get,1.0,0.0,0.0,2.0
147,mention sxsw ipad store sell everything except gig wifi white also know white jean configuration,1.0,0.0,0.0,2.0
148,offer sxsw ipad promo ninjafinder user fan sxsw suck sxsw,1.0,0.0,0.0,2.0
149,mention sxsw austin conference google search interactive music film,0.0,1.0,0.0,0.0
150,anyone sxsw know apple selling ipad,1.0,0.0,0.0,0.0
151,anyone sxsw know apple store new shipment ipads yet,1.0,0.0,0.0,0.0
152,marc ecko sxsw launch iphone app autodial political change link edreform edtech eduvc fightthepaddle,1.0,0.0,0.0,0.0
153,poursite sxsw learn life change impact ipad real people's actual live bravo,1.0,0.0,0.0,2.0
154,mention sxsw lonelyplanet austin guide iphone free limited time link lp travel,1.0,0.0,0.0,2.0
155,free sxsw mp downloads time itunes link,0.0,0.0,1.0,0.0
156,anyone sxsw head aclu event see owt google circle,0.0,1.0,0.0,0.0
157,mention sxsw prompt memory go google map describe childhood walk,0.0,1.0,0.0,0.0
158,apple sxsw store still ipad short line,1.0,0.0,0.0,2.0
159,essential sxsw tool link,0.0,0.0,1.0,0.0
160,leave sxsw tradeshow demo mention google theatre ok get see presenter use,0.0,1.0,0.0,2.0
161,follow sxsw tweet google realtime four platform tweet deck listening panel realize i'm spoken one today,0.0,1.0,0.0,0.0
162,anyone sxsw want ipad i'm line pick one someone willing pay grab,1.0,0.0,0.0,0.0
163,anyone sxsw want make quick hundred dollar new ipad ad hoc apple store get hundred plus cost,1.0,0.0,0.0,2.0
164,solve sxsw induce iphone toilet crisis apple store mention crisis,1.0,0.0,0.0,0.0
165,monday sxsw barry diller new york time congress lunch w hotel party google party six dirty martini monday,0.0,1.0,0.0,2.0
166,attend sxsw austin guide mention free download itunes link lp,0.0,0.0,1.0,0.0
167,seriously sxsw test mobile apps constant ipad crash cause lose schedule sync wp,1.0,0.0,0.0,1.0
168,ready sxsw iphone apps make ur blogging easy link sxsw sxswi,1.0,0.0,0.0,2.0
169,ipad sxsw conflagration doofusness link,1.0,0.0,0.0,1.0
170,attention sxsw'ers link rumor pop temporary apple store sxsw ipad launch need,1.0,0.0,0.0,2.0
171,go sxswi lousy ipad sxsw link,1.0,0.0,0.0,2.0
172,hey sxsw sxswi folk want learn security come bsidesaustin link,0.0,0.0,1.0,0.0
173,attend sxswi work iphone ipad game development look hire austin base io developer i'm man let's talk sxsw,1.0,0.0,0.0,0.0
174,win picture android google sxsw link,0.0,1.0,0.0,2.0
175,gsd amp google rt mention what's best party hit tonight sxsw mention mention,0.0,1.0,0.0,0.0
176,gsd amp google industry party sxsw mention great meet link,0.0,1.0,0.0,0.0
177,spent come sxsw already use ipad wait couple city block ipad sxsw link,1.0,0.0,0.0,1.0
178,sxsw day marissa mayer google connect digital amp physical world mobile link,0.0,1.0,0.0,0.0
179,behind email give line iphone compose reply sxsw protip,1.0,0.0,0.0,2.0
180,like pm night line around block popup apple store sell ipad sxsw,1.0,0.0,0.0,2.0
181,mention free song sxsw year alone link,0.0,0.0,1.0,0.0
182,million mobile user google map mobile sxsw,0.0,1.0,0.0,0.0
183,currently people line quot pop apple store quot sxsw,1.0,0.0,0.0,0.0
184,ipad available sxsw gb wifi model plus optional leather smart cover,1.0,0.0,0.0,0.0
185,love entertain please grateful link edchat musedchat sxsw sxswi classical newtwitter,0.0,0.0,1.0,0.0
186,less hour announce detail ipad giveaway sxsw sxswi,1.0,0.0,0.0,0.0
187,i'm ipad see wild people say fast still pic terrible sxsw,1.0,0.0,0.0,1.0
188,ipad queue sxsw course,1.0,0.0,0.0,0.0
189,ipad take sxsw video mention link,1.0,0.0,0.0,2.0
190,many ipad snap away keynote slide sxsw,1.0,0.0,0.0,2.0
191,apple user credit card sync'd itunes one click purchase win sxsw,1.0,0.0,0.0,0.0
192,nd cocktail quot texas snowflake quot mention google cnngrill sxsw,0.0,1.0,0.0,0.0
193,new post iphone apps we'll use south southwest interactive link sxsw sxswi,1.0,0.0,0.0,2.0
194,new post iphone apps we'll use south southwest interactive sxsw sxswi link,1.0,0.0,0.0,0.0
195,sweet new google map demo go ballroom sxsw,0.0,1.0,0.0,2.0
196,million mile per day drive google map navigation sxsw,0.0,1.0,0.0,2.0
197,rt p ipad line apple store longer wide people one hour sxsw,1.0,0.0,0.0,0.0
198,u smart pack extra rt mention way sunny austin sxsw extra iphone stow case mention mention,1.0,0.0,0.0,0.0
199,wonder sqwill attempt block gowalla cross checkins way facebook block google's contact connection sxsw lbswars,0.0,1.0,0.0,0.0
200,sxsw day apple store there's still line grow link,1.0,0.0,0.0,2.0
201,check step bulletproof ux strategy sxsw link sxsw rhjr ux link,0.0,0.0,1.0,0.0
202,wander th street girl stop ceviche mojitos apple juice amp ice cream sxsw,1.0,0.0,0.0,0.0
203,band sxsw want share track audience stage use frostwire android there's wi fi available,0.0,1.0,0.0,2.0
204,we've get busy week ahead new book google apps available amazon amp we're attend sxsw,0.0,1.0,0.0,0.0
205,believe go aussie sxsw rt mention ipad sell go new buyer report link,1.0,0.0,0.0,0.0
206,mention google spreadsheet party sxsw year link mention plan go sxsw party,0.0,1.0,0.0,0.0
207,guy line apple's pop store sixth street austin quot i'm guy quot tell sxsw,1.0,0.0,0.0,0.0
208,u iphone need car use zimride etc share rid sxsw shareable,1.0,0.0,0.0,2.0
209,i've see lot tablet every single one ipad sxsw,1.0,0.0,0.0,0.0
210,receive lot mention message tell i'm sexy response post look meet fellow christian iphone devs sxsw,1.0,0.0,0.0,0.0
211,pick mophie battery case iphone prep sxsw lug around laptop amp use phone huge win last year,1.0,0.0,0.0,2.0
212,thats news p rt mention google launch major new social network call circle possibly today link sxsw,0.0,1.0,0.0,0.0
213,take piss trade show ipad one hand iphone piss kiiiiiilling right sxsw,1.0,0.0,0.0,0.0
214,rumor monger good read google circle preview mention sxsw link mention via mention socbiz fb,0.0,1.0,0.0,2.0
215,hobo shotgun iphone game link sxsw,1.0,0.0,0.0,0.0
216,hobo shotgun video game come ipad iphone user yes please link sxsw,1.0,0.0,0.0,2.0
217,build store less hour one big launch company's history get apple sxsw ipad,1.0,0.0,0.0,2.0
218,take survey iphone starbucks line get free starbucks gift card instant research instant gratification sxsw gsdm,1.0,0.0,0.0,0.0
219,apple temporary retail store austin ipad release today open pm sxsw sxswi ipad,1.0,0.0,0.0,0.0
220,read groupme sxsw sound like incredible app available android phone yet,1.0,0.0,0.0,2.0
221,wonder circle gt google reveal new social network sxsw link,0.0,1.0,0.0,0.0
222,google search local marissa mayer sxsw,0.0,1.0,0.0,0.0
223,wonder street closure sxsw make google map show link sxsw austin,0.0,1.0,0.0,0.0
224,google another go social quot google circle quot sxsw google,0.0,1.0,0.0,0.0
225,question what's inside ipad fire way sxsw,1.0,0.0,0.0,0.0
226,paraormal activity sanctuary iphone game sketch ar experience interactivity quot magic lense quot eduar sxsw,0.0,0.0,1.0,0.0
227,apple iie ad si swimsuit issue garage sale sxsw link,1.0,0.0,0.0,0.0
228,flipboard add instagram photo social search apps link apple socialsearch sxsw,1.0,0.0,0.0,0.0
229,spent aftrnoon frozen lake photograph brother scott amp mention team catch sxsw th weeknd link,0.0,0.0,1.0,0.0
230,iphone alarm botch timechange many sxsw'ers freak late flight miss panel behind bloody mary,1.0,0.0,0.0,1.0
231,shouts lady hold ipad free sxsw show take photo sip free beer cc mention,1.0,0.0,0.0,2.0
232,dj hoodie allen due respect probably make way back google sxsw,0.0,1.0,0.0,0.0
233,meant also wish sxsw dyac stupid iphone,1.0,0.0,0.0,1.0
234,audioboo american dream bust link ipad sxsw bum begger u socialart documentally,1.0,0.0,0.0,0.0
235,skifta app base medium shift service turn android phone sxsw mashable sxswi link,0.0,1.0,0.0,0.0
236,rumor apple store open sxsw th amp congress sign point yes link,1.0,0.0,0.0,2.0
237,apple security guy lock store sxsw link,1.0,0.0,0.0,0.0
238,apple security guy lock store sxsw realtime sxsw link curated mention,1.0,0.0,0.0,0.0
239,get ipad sxsw link cc mention,1.0,0.0,0.0,0.0
240,pick ipad sxsw pop apple store minute wait,1.0,0.0,0.0,2.0
241,brilliant enlighten game mechanic presentation mention google sxsw,0.0,1.0,0.0,2.0
242,gsd amp google sit tree link sxsw gsdm,0.0,1.0,0.0,0.0
243,mention here's pic win ipad unsix sxsw cc mention mention link cont link,0.0,0.0,1.0,0.0
244,iphone thirsty sxsw mention chevy volt lounge w others link,1.0,0.0,0.0,0.0
245,iphone thirsty sxsw mention chevy volt lounge w others link link,1.0,0.0,0.0,0.0
246,come leave sxsw iphone playing song choose random skream's listen record wall appropriate,1.0,0.0,0.0,0.0
247,marketing sale genius link apple sxsw,1.0,0.0,0.0,2.0
248,arduino android flame skull link refrigerator speaks salon k pm mention mention sxsw smartthings,0.0,1.0,0.0,0.0
249,reminder android chrome tt talk mention pm today link sxsw,0.0,1.0,0.0,0.0
250,ipad v android v world panel sxsw today pm mention link,0.0,1.0,0.0,0.0
251,backupify announces cloudsight search first searchable archive solution social medium google apps sxsw sxswi link,0.0,1.0,0.0,0.0
252,google announce social network quot circle quot via sxsw tweet interest myopia cause buzz joke interest,0.0,1.0,0.0,0.0
253,need sxsw ipad iphone laptop dictaphone vid camera wow love meet real cerebellum charge people,1.0,0.0,0.0,2.0
254,u see anything google's circle sxsw mention mention,0.0,1.0,0.0,0.0
255,sxsw app iphone ridiculous personal planner next day,1.0,0.0,0.0,2.0
256,sxsw app android huge prop mention mention mention amp mention get link,0.0,1.0,0.0,0.0
257,find app kyping iphone's geolocation amp release background need patch mention batterykiller sxsw,1.0,0.0,0.0,1.0
258,sxsw app iphone live rsvp event phone amp check sundayswagger eventbrite com scoremore,1.0,0.0,0.0,2.0
259,iphone app screen sxsw miss link,1.0,0.0,0.0,0.0
260,love app awesome rt mention must see android app sxsw quot bizzy quot link,0.0,1.0,0.0,2.0
261,sxsw apple quot pop quot store nut still pack link,1.0,0.0,0.0,0.0
262,say apple sxsw popup store austin link mention mention,1.0,0.0,0.0,0.0
263,break apple announces partnership w porn industry new ipad video chat app call quot facetime quot sxsw,1.0,0.0,0.0,0.0
264,course apple build temp store austin texas understand concept corral cattle sxsw pickmeupanipad,1.0,0.0,0.0,1.0
265,love apple let something like retail store near sxsw keep away open pop store link,1.0,0.0,0.0,2.0
266,surprise apple open pop store austin nerd town sxsw get new link cnet,1.0,0.0,0.0,2.0
267,surprise apple open pop store austin nerd town sxsw get new ipads link cnet,1.0,0.0,0.0,2.0
268,surprise apple open pop store austin nerd town sxsw get new ipads http link,1.0,0.0,0.0,0.0
269,surprise apple open pop store austin nerd town sxsw get new ipads link,1.0,0.0,0.0,2.0
270,technews apple head sxsw set temporary store austin link tech news apple ipad rance wilemon sxsw tech,1.0,0.0,0.0,0.0
271,mention apple great example retail store layed future register checkout line sxsw,1.0,0.0,0.0,2.0
272,mention apple open temporary store downtown austin sxsw ipad launch link gswsxsw,1.0,0.0,0.0,2.0
273,mention apple open temporary store downtown austin sxsw ipad launch quot oh yay traffic,1.0,0.0,0.0,1.0
274,technews apple open pop store austin sxsw link tech news american statesman apple apple apple sxsw tech,1.0,0.0,0.0,0.0
275,technews apple open pop store austin sxsw geekfest apple link tech news apple brian lam ipad sxsw tech,1.0,0.0,0.0,0.0
276,sxsw apple popup store open noon fresh shipment ipad i'm pretty sure i'm go get one finger cross,1.0,0.0,0.0,2.0
277,technews apple save sxsw set open pop store link tech news apple sxsw tech,1.0,0.0,0.0,2.0
278,sxsw apple school marketing expert link,1.0,0.0,0.0,0.0
279,sxsw apple school marketing expert link,1.0,0.0,0.0,2.0
280,sxsw apple school marketing expert link via mention,1.0,0.0,0.0,2.0
281,sxsw apple school marketing expert link via mention lt lt true love loathe one marketing like,1.0,0.0,0.0,2.0
282,sxsw apple school marketing expert cnet link,1.0,0.0,0.0,2.0
283,sxsw apple school marketing expert cnet blog link austin atx retail,1.0,0.0,0.0,2.0
284,mention apple store downtown austin open til midnight sxsw mention there's still time,1.0,0.0,0.0,2.0
285,mention apple store downtown austin open til midnight sxsw ipad leave stock,1.0,0.0,0.0,0.0
286,mention apple store congress link sxsw austin,1.0,0.0,0.0,0.0
287,quot apple store mall sunday x crowd line fake need fuck dongle quot genius let sxsw,1.0,0.0,0.0,1.0
288,wks apple store th austin street open sxsw,1.0,0.0,0.0,0.0
289,special apple store open th congress sxsw amp ipad launch www apple com retail thedomain apple ipad sxsw fb,1.0,0.0,0.0,0.0
290,makeshift apple store th congress kid amaze sxsw apple,1.0,0.0,0.0,2.0
291,temporary apple store sxsw huge line link,1.0,0.0,0.0,0.0
292,temporary apple store sxsw really cool ipad apple sxsw fanboy,1.0,0.0,0.0,2.0
293,temporary apple store set sxsw shit temptation go control,1.0,0.0,0.0,2.0
294,temporary apple store sxsw line go around block link,1.0,0.0,0.0,0.0
295,temporary apple store open mention th amp congress tomorrow ipad sxsw,1.0,0.0,0.0,0.0
296,temporary apple store open pm th congress line already grow ipad view io link via mention sxsw,1.0,0.0,0.0,2.0
297,temporary apple store block office can't wait see line tomorrow photo come sxsw ipad,1.0,0.0,0.0,2.0
298,sxsw apple store open noon day close run ipad buy stock year ago,1.0,0.0,0.0,0.0
299,base camp apple sxsw link,1.0,0.0,0.0,0.0
300,ipad news apps last year sxsw link,1.0,0.0,0.0,1.0
301,iphone apps probably need use sxsw link,1.0,0.0,0.0,2.0
302,million mobile google map user mention sxsw,0.0,1.0,0.0,2.0
303,line already form apple's pop store austin people see festival link sxsw,1.0,0.0,0.0,0.0
304,android rt mention new mobile apps use sxsw link,0.0,1.0,0.0,2.0
305,sxsw attend sxsw report see android phone get bannka app,0.0,1.0,0.0,0.0
306,ipad apps like software development release start work update sxsw,1.0,0.0,0.0,2.0
307,tweet stall data sluggish come amp verizon embarrass iphone customer switch sxsw iphone,1.0,0.0,0.0,0.0
308,tweet google come circle platform today outside circle keep itsnot sxsw,0.0,1.0,0.0,0.0
309,mention stupid find sxsw mac link special price game mac,0.0,0.0,1.0,0.0
310,slate see much traffic mobile safari app ipad sxsw electricnews,1.0,0.0,0.0,0.0
311,unload apple store corner th congress austin temp store sxsw link,1.0,0.0,0.0,0.0
